name,ticker,isin,productType,currency
Invesco STOXX Europe 600 Optimised Banks UCITS Acc ETF,X7PS,IE00B5MTWD60,ETF,EUR
Invesco STOXX Europe 600 Optimised Basic Resources UCITS Acc ETF,SC0W,IE00B5MTWY73,ETF,EUR
Invesco STOXX Europe 600 Optimised Basic Resources UCITS Acc ETF,SC0W,IE00B5MTWY73,ETF,EUR
Invesco STOXX Europe 600 Optimised Chemicals UCITS Acc ETF,SC00,IE00B5MTY077,ETF,EUR
Invesco STOXX Europe 600 Optimised Construction & Materials UCITS Acc ETF,SC01,IE00B5MTY309,ETF,EUR
Invesco STOXX Europe 600 Optimised Financial Services UCITS Acc ETF,SC02,IE00B5MTYK77,ETF,EUR
Invesco STOXX Europe 600 Optimised Financial Services UCITS Acc ETF,SC02,IE00B5MTYK77,ETF,EUR
Invesco STOXX Europe 600 Optimised Food & Beverage UCITS Acc ETF,SC03,IE00B5MTYL84,ETF,EUR
Invesco STOXX Europe 600 Optimised Food & Beverage UCITS Acc ETF,SC03,IE00B5MTYL84,ETF,EUR
Invesco STOXX Europe 600 Optimised Health Care UCITS Acc ETF,SC0T,IE00B5MJYY16,ETF,EUR
Invesco Gl HY Corp Bd ESG Cl Trnstn UCITS ETF Dist,GB1D,IE000ZWSN3F7,ETF,EUR
Invesco Global Active ESG Equity UCITS ETF Acc,IQSA,IE00BJQRDN15,ETF,EUR
Invesco Global Active ESG Equity UCITS ETF Acc,IQSA,IE00BJQRDN15,ETF,USD
Invesco Global Buyback Achievers UCITS ETF Dist,BBCK,IE00BLSNMW37,ETF,EUR
Invesco Global Buyback Achievers UCITS ETF Dist,SBUY,IE00BLSNMW37,ETF,GBX
Invesco Global Buyback Achievers UCITS ETF Dist,BUYB,IE00BLSNMW37,ETF,EUR
Invesco Global Buyback Achievers UCITS ETF Dist,BUYB,IE00BLSNMW37,ETF,EUR
Invesco Global Buyback Achievers UCITS ETF Dist,BBCK,IE00BLSNMW37,ETF,EUR
Invesco Global Buyback Achievers UCITS ETF Dist,BUYB,IE00BLSNMW37,ETF,USD
Invesco Global Buyback Achievers UCITS ETF Dist,BUYB,IE00BLSNMW37,ETF,USD
Invesco Global Clean Energy UCITS ETF Acc,G1CE,IE00BLRB0242,ETF,EUR
Invesco Global Clean Energy UCITS ETF Acc,G1CE,IE00BLRB0242,ETF,EUR
Invesco Global Clean Energy UCITS ETF Acc,GCLE,IE00BLRB0242,ETF,EUR
Invesco Global Clean Energy UCITS ETF Dist,G1CD,IE00BLRB0028,ETF,EUR
Invesco Global Clean Energy UCITS ETF Dist,GCED,IE00BLRB0028,ETF,USD
Invesco Global Enhanced Equity UCITS ETF Acc,IQGA,IE000TZ4SIN6,ETF,EUR
Invesco Global Enhanced Equity UCITS ETF Acc,IQGA,IE000TZ4SIN6,ETF,CHF
Invesco Health Care S&P US Sel Sctr UCITS ETF Acc,XLVS,IE00B3WMTH43,ETF,EUR
Invesco Health Care S&P US Sel Sctr UCITS ETF Acc,XLVS,IE00B3WMTH43,ETF,USD
Invesco Health Care S&P US Sel Sctr UCITS ETF Acc,XLVP,IE00B3WMTH43,ETF,GBX
